"LotFrontage","LotArea","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","MSSubClass.20","MSSubClass.50","MSSubClass.60","MSSubClass.120","MSZoning.RL","MSZoning.RM","Alley.None","LotShape.IR1","LotShape.Reg","LandContour.Lvl","LotConfig.Corner","LotConfig.CulDSac","LotConfig.Inside","LandSlope.Gtl","Neighborhood.CollgCr","Neighborhood.Edwards","Neighborhood.Gilbert","Neighborhood.NAmes","Neighborhood.NridgHt","Neighborhood.NWAmes","Neighborhood.OldTown","Neighborhood.Sawyer","Neighborhood.Somerst","Condition1.Feedr","Condition1.Norm","BldgType.1Fam","BldgType.TwnhsE","HouseStyle.1.5Fin","HouseStyle.1Story","HouseStyle.2Story","OverallQual.4","OverallQual.5","OverallQual.6","OverallQual.7","OverallQual.8","OverallCond.5","OverallCond.6","OverallCond.7","YearBuilt","YearRemodAdd","RoofStyle.Gable","RoofStyle.Hip","Exterior1st.HdBoard","Exterior1st.MetalSd","Exterior1st.Plywood","Exterior1st.VinylSd","Exterior1st.Wd.Sdng","Exterior2nd.HdBoard","Exterior2nd.MetalSd","Exterior2nd.Plywood","Exterior2nd.VinylSd","Exterior2nd.Wd.Sdng","MasVnrType.BrkFace","MasVnrType.None","MasVnrType.Stone","ExterQual.Gd","ExterQual.TA","ExterCond.Gd","ExterCond.TA","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","BsmtQual.Ex","BsmtQual.Gd","BsmtQual.TA","BsmtCond.TA","BsmtExposure.Av","BsmtExposure.Gd","BsmtExposure.Mn","BsmtExposure.No","BsmtFinType1.ALQ","BsmtFinType1.BLQ","BsmtFinType1.GLQ","BsmtFinType1.LwQ","BsmtFinType1.Rec","BsmtFinType1.Unf","BsmtFinType2.Unf","HeatingQC.Ex","HeatingQC.Gd","HeatingQC.TA","CentralAir.N","CentralAir.Y","Electrical.FuseA","Electrical.SBrkr","KitchenQual.Ex","KitchenQual.Gd","KitchenQual.TA","Functional.Typ","FireplaceQu.Gd","FireplaceQu.TA","FireplaceQu.None","GarageType.Attchd","GarageType.BuiltIn","GarageType.Detchd","GarageType.None","GarageYrBlt","GarageFinish.Fin","GarageFinish.RFn","GarageFinish.Unf","GarageFinish.None","GarageQual.TA","GarageQual.None","GarageCond.TA","GarageCond.None","PavedDrive.N","PavedDrive.Y","Fence.MnPrv","Fence.None","MoSold","YrSold","SaleType.New","SaleType.WD","SaleCondition.Abnorml","SaleCondition.Normal","SaleCondition.Partial","SalePrice"
65,8450,196,706,0,150,856,856,854,1710,1,0,2,1,3,8,0,2,548,0,61,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,2003,2003,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,2003,0,1,0,0,1,0,1,0,0,1,0,1,2,2008,0,1,0,1,0,12.247694320221
80,9600,0,978,0,284,1262,1262,0,1262,0,1,2,0,3,6,1,2,460,298,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1976,1976,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1976,0,1,0,0,1,0,1,0,0,1,0,1,5,2007,0,1,0,1,0,12.109010932687
68,11250,162,486,0,434,920,920,866,1786,1,0,2,1,3,6,1,2,608,0,42,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,2001,2002,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,2001,0,1,0,0,1,0,1,0,0,1,0,1,9,2008,0,1,0,1,0,12.3171666930358
60,9550,0,216,0,540,756,961,756,1717,1,0,1,0,3,7,1,3,642,0,35,180.15,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1916,1970,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1998,0,0,1,0,1,0,1,0,0,1,0,1,2,2006,0,1,1,0,0,11.8493977015914
84,14260,350,655,0,490,1145,1145,1053,2198,1,0,2,1,4,9,1,3,836,192,84,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,2000,2000,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,2000,0,1,0,0,1,0,1,0,0,1,0,1,11,2008,0,1,0,1,0,12.4292161968444
85,14115,0,732,0,64,796,796,566,1362,1,0,1,1,2,5,0,2,480,40,30,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1993,1995,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1993,0,0,1,0,1,0,1,0,0,1,1,0,10,2009,0,1,0,1,0,11.870599909242
75,10084,186,1274,0,317,1686,1694,0,1694,1,0,2,0,3,7,1,2,636,255,57,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2004,2005,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,2004,0,1,0,0,1,0,1,0,0,1,0,1,8,2007,0,1,0,1,0,12.6346030265693
81,10382,240,859,32,216,1107,1107,983,2090,1,0,2,1,3,7,2,2,484,235,175.05,180.15,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1973,1973,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1973,0,1,0,0,1,0,1,0,0,1,0,1,11,2009,0,1,0,1,0,12.2060726455302
51,6120,0,0,0,952,952,1022,752,1774,0,0,2,0,2,8,2,2,468,90,0,180.15,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1931,1950,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1931,0,0,1,0,0,0,1,0,0,1,0,1,4,2008,0,1,1,0,0,11.7745202026587
50,7420,0,851,0,140,991,1077,0,1077,1,0,1,0,2,5,2,1,205,0,4,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1939,1950,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1939,0,1,0,0,0,0,1,0,0,1,0,1,2,2008,0,1,0,1,0,11.6784399034478
